Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
722	P06	0.000	P14M48-323	1.95	1	 1.92646	 2.20561	 2.33255	 0.464971	  5.3	-0.203042	 0.0761083	0.975
723	P06	1.000		1.95	1	 1.92212	 2.20814	 2.33503	 0.465005	  5.3	-0.206453	 0.0795674	0.935
724	P06	2.000		1.94	1	 1.91847	 2.21023	 2.33747	 0.465112	  5.3	-0.209500	 0.0822616	0.898
725	P06	3.000		1.93	1	 1.91565	 2.21173	 2.33992	 0.465302	  5.3	-0.212134	 0.0839466	0.866
726	P06	4.000		1.91	1	 1.91383	 2.21249	 2.34245	 0.465581	  5.2	-0.214309	 0.0843571	0.836
727	P06	5.000		1.88	1	 1.91316	 2.21236	 2.34514	 0.465956	  5.1	-0.215991	 0.0832138	0.810
728	P06	6.000		1.84	1	 1.91379	 2.21118	 2.34811	 0.466429	  5.0	-0.217161	 0.0802330	0.788
729	P06	7.000		1.80	1	 1.91584	 2.20880	 2.35147	 0.466997	  4.9	-0.217817	 0.0751396	0.769
730	P06	8.000		1.75	1	 1.91940	 2.20507	 2.35537	 0.467654	  4.8	-0.217986	 0.0676806	0.753
731	P06	9.000		1.69	1	 1.92451	 2.19988	 2.35996	 0.468389	  4.6	-0.217722	 0.0576415	0.740
732	P06	10.000		1.63	1	 1.93116	 2.19314	 2.36540	 0.469182	  4.5	-0.217116	 0.0448624	0.731
733	P06	11.000		1.57	1	 1.93928	 2.18482	 2.37185	 0.470010	  4.3	-0.216289	 0.0292541	0.725
734	P06	12.000		1.51	1	 1.94870	 2.17491	 2.37950	 0.470843	  4.1	-0.215399	 0.0108123	0.722
735	P06	13.000		1.45	1	 1.95923	 2.16349	 2.38848	 0.471647	  4.0	-0.214628	-0.0103711	0.723
736	P06	14.000		1.39	1	 1.97058	 2.15065	 2.39893	 0.472383	  3.8	-0.214177	-0.0341009	0.727
737	P06	15.000		1.34	1	 1.98242	 2.13660	 2.41093	 0.473014	  3.7	-0.214253	-0.0600768	0.734
738	P06	16.000		1.31	1	 1.99440	 2.12155	 2.42450	 0.473503	  3.6	-0.215050	-0.0878964	0.744
739	P06	17.000		1.28	1	 2.00613	 2.10580	 2.43959	 0.473815	  3.5	-0.216732	-0.117064	0.757
740	P06	18.000		1.27	1	 2.01725	 2.08967	 2.45609	 0.473925	  3.5	-0.219422	-0.147007	0.774
741	P06	19.000		1.28	1	 2.02743	 2.07351	 2.47378	 0.473815	  3.5	-0.223176	-0.177092	0.794
742	P06	19.760	E32M49-406	1.30	1	 2.03435	 2.06145	 2.48782	 0.473579	  3.6	-0.226737	-0.199642	0.812
743	P06	20.760		1.35	1	 2.02848	 2.06305	 2.49509	 0.472939	  3.7	-0.233306	-0.198734	0.782
