Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
722	P06	0.000	P14M48-323	2.53	1	 0.732224	 0.934029	 0.949023	 0.125898	  6.8	-0.108399	 0.0934060	0.975
723	P06	1.000		2.53	1	 0.729070	 0.935691	 0.950072	 0.125877	  6.9	-0.110501	 0.0961204	0.935
724	P06	2.000		2.53	1	 0.726303	 0.937057	 0.951191	 0.125881	  6.9	-0.112444	 0.0983100	0.898
725	P06	3.000		2.52	1	 0.724011	 0.938057	 0.952405	 0.125913	  6.8	-0.114197	 0.0998491	0.866
726	P06	4.000		2.50	1	 0.722282	 0.938619	 0.953743	 0.125977	  6.8	-0.115730	 0.100606	0.836
727	P06	5.000		2.48	1	 0.721204	 0.938668	 0.955239	 0.126073	  6.7	-0.117018	 0.100447	0.810
728	P06	6.000		2.44	1	 0.720855	 0.938132	 0.956931	 0.126204	  6.6	-0.118038	 0.0992392	0.788
729	P06	7.000		2.39	1	 0.721308	 0.936942	 0.958860	 0.126370	  6.5	-0.118776	 0.0968583	0.769
730	P06	8.000		2.34	1	 0.722612	 0.935038	 0.961076	 0.126569	  6.4	-0.119232	 0.0931934	0.753
731	P06	9.000		2.27	1	 0.724799	 0.932369	 0.963631	 0.126801	  6.2	-0.119416	 0.0881543	0.740
732	P06	10.000		2.20	1	 0.727869	 0.928904	 0.966582	 0.127060	  6.0	-0.119357	 0.0816787	0.731
733	P06	11.000		2.12	1	 0.731790	 0.924629	 0.969988	 0.127343	  5.8	-0.119099	 0.0737393	0.725
734	P06	12.000		2.04	1	 0.736498	 0.919553	 0.973908	 0.127641	  5.6	-0.118705	 0.0643498	0.722
735	P06	13.000		1.95	1	 0.741890	 0.913712	 0.978395	 0.127947	  5.3	-0.118253	 0.0535696	0.723
736	P06	14.000		1.87	1	 0.747832	 0.907170	 0.983493	 0.128251	  5.1	-0.117830	 0.0415074	0.727
737	P06	15.000		1.79	1	 0.754166	 0.900018	 0.989228	 0.128546	  4.9	-0.117531	 0.0283211	0.734
738	P06	16.000		1.71	1	 0.760711	 0.892374	 0.995605	 0.128820	  4.7	-0.117447	 0.0142162	0.744
739	P06	17.000		1.64	1	 0.767280	 0.884378	 1.00259	 0.129066	  4.5	-0.117658	-0.000559098	0.757
740	P06	18.000		1.58	1	 0.773686	 0.876191	 1.01014	 0.129276	  4.4	-0.118226	-0.0157212	0.774
741	P06	19.000		1.54	1	 0.779759	 0.867984	 1.01813	 0.129444	  4.2	-0.119186	-0.0309611	0.794
742	P06	19.760	E32M49-406	1.51	1	 0.784058	 0.861844	 1.02442	 0.129543	  4.2	-0.120183	-0.0423967	0.812
743	P06	20.760		1.57	1	 0.779355	 0.864180	 1.02657	 0.129315	  4.3	-0.123608	-0.0387836	0.782
744	P06	21.760		1.64	1	 0.774353	 0.866779	 1.02843	 0.129078	  4.5	-0.127037	-0.0346114	0.754
745	P06	22.760		1.71	1	 0.769078	 0.869607	 1.03001	 0.128832	  4.7	-0.130464	-0.0299353	0.729
746	P06	23.760		1.78	1	 0.763576	 0.872618	 1.03133	 0.128578	  4.9	-0.133875	-0.0248327	0.707
747	P06	24.760		1.85	1	 0.757906	 0.875757	 1.03241	 0.128317	  5.1	-0.137254	-0.0194025	0.687
748	P06	25.760		1.92	1	 0.752148	 0.878958	 1.03329	 0.128053	  5.3	-0.140573	-0.0137618	0.669
749	P06	26.760		2.00	1	 0.746395	 0.882151	 1.03399	 0.127787	  5.5	-0.143798	-0.00804196	0.654
750	P06	27.760		2.07	1	 0.740755	 0.885260	 1.03453	 0.127525	  5.6	-0.146887	-0.00238286	0.641
751	P06	28.760		2.14	1	 0.735344	 0.888210	 1.03493	 0.127268	  5.8	-0.149792	 0.00307313	0.630
752	P06	29.760		2.21	1	 0.730283	 0.890929	 1.03520	 0.127023	  6.0	-0.152458	 0.00818847	0.622
753	P06	30.760		2.27	1	 0.725690	 0.893355	 1.03534	 0.126792	  6.2	-0.154827	 0.0128375	0.616
754	P06	31.760		2.33	1	 0.721674	 0.895431	 1.03536	 0.126581	  6.3	-0.156845	 0.0169130	0.612
755	P06	32.760		2.39	1	 0.718328	 0.897119	 1.03525	 0.126394	  6.5	-0.158459	 0.0203324	0.611
756	P06	33.760		2.43	1	 0.715727	 0.898393	 1.03498	 0.126233	  6.6	-0.159625	 0.0230410	0.612
757	P06	34.760		2.47	1	 0.713920	 0.899243	 1.03454	 0.126102	  6.7	-0.160309	 0.0250150	0.615
758	P06	35.760		2.50	1	 0.712928	 0.899679	 1.03391	 0.126002	  6.8	-0.160490	 0.0262605	0.620
759	P06	36.760		2.52	1	 0.712748	 0.899720	 1.03307	 0.125934	  6.8	-0.160160	 0.0268121	0.628
760	P06	37.760		2.53	1	 0.713350	 0.899403	 1.03200	 0.125898	  6.8	-0.159325	 0.0267281	0.638
761	P06	38.760		2.53	1	 0.714682	 0.898771	 1.03069	 0.125892	  6.9	-0.158004	 0.0260855	0.651
762	P06	39.760		2.52	1	 0.716676	 0.897875	 1.02913	 0.125915	  6.8	-0.156225	 0.0249736	0.665
763	P06	40.760		2.51	1	 0.719253	 0.896769	 1.02731	 0.125965	  6.8	-0.154028	 0.0234880	0.683
764	P06	41.760		2.49	1	 0.722324	 0.895504	 1.02524	 0.126039	  6.7	-0.151455	 0.0217245	0.702
765	P06	42.760		2.46	1	 0.725802	 0.894134	 1.02292	 0.126134	  6.7	-0.148557	 0.0197744	0.724
766	P06	43.760		2.43	1	 0.729599	 0.892703	 1.02037	 0.126246	  6.6	-0.145383	 0.0177205	0.749
767	P06	44.760		2.39	1	 0.733633	 0.891251	 1.01760	 0.126374	  6.5	-0.141983	 0.0156349	0.776
768	P06	45.760		2.35	1	 0.737831	 0.889814	 1.01464	 0.126513	  6.4	-0.138405	 0.0135775	0.805
769	P06	46.760		2.31	1	 0.742127	 0.888416	 1.01151	 0.126661	  6.3	-0.134694	 0.0115955	0.837
770	P06	47.760		2.27	1	 0.746464	 0.887080	 1.00825	 0.126817	  6.2	-0.130891	 0.00972427	0.872
771	P06	48.760		2.22	1	 0.750796	 0.885819	 1.00487	 0.126977	  6.1	-0.127035	 0.00798807	0.909
772	P06	48.857	E32M49-520	2.22	1	 0.751214	 0.885701	 1.00453	 0.126992	  6.0	-0.126659	 0.00782747	0.913
773	P06	49.857		2.40	1	 0.736859	 0.893144	 1.00122	 0.126335	  6.5	-0.132180	 0.0241058	0.891
774	P06	50.857		2.53	1	 0.728282	 0.894941	 1.00079	 0.125883	  6.9	-0.136255	 0.0304037	0.890
775	P06	51.857		2.57	1	 0.727073	 0.891627	 1.00151	 0.125734	  7.0	-0.137220	 0.0273334	0.910
776	P06	52.857		2.54	1	 0.732566	 0.884704	 1.00203	 0.125854	  6.9	-0.134731	 0.0174060	0.952
777	P06	53.603	E35M58-446	2.48	1	 0.739793	 0.878345	 1.00165	 0.126054	  6.7	-0.130926	 0.00762584	0.996
778	P06	54.603		2.53	1	 0.739352	 0.873751	 1.00940	 0.125888	  6.9	-0.135025	-0.000625105	0.955
779	P06	55.603		2.55	1	 0.739671	 0.869933	 1.01505	 0.125811	  6.9	-0.137690	-0.00742736	0.926
780	P06	56.603		2.54	1	 0.740431	 0.867750	 1.01739	 0.125859	  6.9	-0.138478	-0.0111592	0.911
781	P06	57.603		2.48	1	 0.741372	 0.867896	 1.01551	 0.126054	  6.7	-0.137069	-0.0105446	0.907
782	P06	58.603		2.39	1	 0.742299	 0.870660	 1.00923	 0.126387	  6.5	-0.133463	-0.00510188	0.917
783	P06	59.603		2.27	1	 0.743078	 0.875802	 0.999261	 0.126808	  6.2	-0.128091	 0.00463248	0.938
784	P06	60.603		2.15	1	 0.743634	 0.882623	 0.987076	 0.127241	  5.9	-0.121721	 0.0172681	0.973
785	P06	61.118	E35M58-280	2.09	1	 0.743827	 0.886491	 0.980498	 0.127444	  5.7	-0.118335	 0.0243287	0.996
786	P06	62.118		2.24	1	 0.738030	 0.885052	 0.988945	 0.126933	  6.1	-0.125458	 0.0215643	0.945
787	P06	63.118		2.37	1	 0.733016	 0.883457	 0.997163	 0.126440	  6.4	-0.132073	 0.0183679	0.906
788	P06	64.118		2.50	1	 0.728967	 0.881848	 1.00471	 0.125987	  6.8	-0.137874	 0.0150075	0.877
789	P06	65.118		2.61	1	 0.726051	 0.880362	 1.01115	 0.125593	  7.1	-0.142551	 0.0117599	0.858
790	P06	66.118		2.70	1	 0.724414	 0.879105	 1.01609	 0.125279	  7.3	-0.145839	 0.00885225	0.850
791	P06	67.118		2.76	1	 0.724160	 0.878132	 1.01927	 0.125060	  7.5	-0.147554	 0.00641840	0.853
