Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
722	P06	0.000	P14M48-323	1.59	1	 0.539784	 0.714664	 0.703651	 0.135334	  4.4	-0.0819336	 0.0929467	0.975
723	P06	1.000		1.59	1	 0.537173	 0.715395	 0.705098	 0.135343	  4.4	-0.0839627	 0.0942588	0.935
724	P06	2.000		1.58	1	 0.534925	 0.715747	 0.706795	 0.135369	  4.3	-0.0859348	 0.0948868	0.898
725	P06	3.000		1.57	1	 0.533112	 0.715659	 0.708777	 0.135413	  4.3	-0.0878322	 0.0947145	0.866
726	P06	4.000		1.55	1	 0.531805	 0.715069	 0.711081	 0.135475	  4.3	-0.0896377	 0.0936256	0.836
727	P06	5.000		1.53	1	 0.531073	 0.713915	 0.713745	 0.135555	  4.2	-0.0913365	 0.0915065	0.810
728	P06	6.000		1.51	1	 0.530974	 0.712143	 0.716810	 0.135652	  4.1	-0.0929180	 0.0882508	0.788
729	P06	7.000		1.48	1	 0.531559	 0.709702	 0.720316	 0.135765	  4.1	-0.0943783	 0.0837641	0.769
730	P06	8.000		1.44	1	 0.532859	 0.706550	 0.724304	 0.135892	  4.0	-0.0957225	 0.0779687	0.753
731	P06	9.000		1.41	1	 0.534885	 0.702661	 0.728818	 0.136029	  3.9	-0.0969666	 0.0708091	0.740
732	P06	10.000		1.37	1	 0.537622	 0.698020	 0.733902	 0.136172	  3.8	-0.0981397	 0.0622581	0.731
733	P06	11.000		1.33	1	 0.541028	 0.692634	 0.739597	 0.136315	  3.7	-0.0992843	 0.0523214	0.725
734	P06	12.000		1.30	1	 0.545030	 0.686529	 0.745942	 0.136453	  3.6	-0.100456	 0.0410427	0.722
735	P06	13.000		1.26	1	 0.549526	 0.679755	 0.752969	 0.136579	  3.5	-0.101721	 0.0285074	0.723
736	P06	14.000		1.24	1	 0.554388	 0.672386	 0.760694	 0.136685	  3.4	-0.103153	 0.0148452	0.727
737	P06	15.000		1.22	1	 0.559465	 0.664522	 0.769120	 0.136765	  3.4	-0.104827	 0.000229640	0.734
738	P06	16.000		1.20	1	 0.564596	 0.656285	 0.778220	 0.136811	  3.3	-0.106812	-0.0151230	0.744
739	P06	17.000		1.20	1	 0.569611	 0.647817	 0.787939	 0.136819	  3.3	-0.109164	-0.0309580	0.757
740	P06	18.000		1.21	1	 0.574348	 0.639278	 0.798186	 0.136783	  3.3	-0.111919	-0.0469889	0.774
741	P06	19.000		1.23	1	 0.578660	 0.630839	 0.808830	 0.136702	  3.4	-0.115085	-0.0629063	0.794
742	P06	19.760	E32M49-406	1.26	1	 0.581576	 0.624599	 0.817082	 0.136611	  3.5	-0.117753	-0.0747295	0.812
743	P06	20.760		1.33	1	 0.577610	 0.624683	 0.822921	 0.136310	  3.7	-0.122655	-0.0755828	0.782
744	P06	21.760		1.42	1	 0.573401	 0.624995	 0.828554	 0.135996	  3.9	-0.127577	-0.0759827	0.754
745	P06	22.760		1.50	1	 0.568957	 0.625531	 0.833955	 0.135670	  4.1	-0.132499	-0.0759250	0.729
746	P06	23.760		1.59	1	 0.564301	 0.626277	 0.839100	 0.135333	  4.4	-0.137399	-0.0754232	0.707
747	P06	24.760		1.68	1	 0.559467	 0.627210	 0.843971	 0.134986	  4.6	-0.142252	-0.0745096	0.687
748	P06	25.760		1.78	1	 0.554506	 0.628296	 0.848555	 0.134631	  4.9	-0.147024	-0.0732344	0.669
749	P06	26.760		1.87	1	 0.549481	 0.629496	 0.852838	 0.134269	  5.1	-0.151678	-0.0716639	0.654
750	P06	27.760		1.97	1	 0.544469	 0.630762	 0.856808	 0.133903	  5.4	-0.156169	-0.0698767	0.641
751	P06	28.760		2.07	1	 0.539558	 0.632045	 0.860452	 0.133538	  5.6	-0.160447	-0.0679597	0.630
752	P06	29.760		2.16	1	 0.534841	 0.633296	 0.863755	 0.133175	  5.9	-0.164457	-0.0660022	0.622
753	P06	30.760		2.26	1	 0.530415	 0.634465	 0.866697	 0.132819	  6.1	-0.168141	-0.0640904	0.616
754	P06	31.760		2.35	1	 0.526372	 0.635512	 0.869256	 0.132475	  6.4	-0.171442	-0.0623012	0.612
755	P06	32.760		2.44	1	 0.522795	 0.636404	 0.871407	 0.132145	  6.6	-0.174306	-0.0606970	0.611
756	P06	33.760		2.52	1	 0.519754	 0.637117	 0.873124	 0.131834	  6.8	-0.176685	-0.0593219	0.612
757	P06	34.760		2.60	1	 0.517302	 0.637641	 0.874378	 0.131545	  7.0	-0.178538	-0.0581994	0.615
758	P06	35.760		2.67	1	 0.515470	 0.637976	 0.875144	 0.131281	  7.2	-0.179837	-0.0573313	0.620
759	P06	36.760		2.74	1	 0.514268	 0.638134	 0.875400	 0.131044	  7.4	-0.180566	-0.0566996	0.628
